filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg,animated,animated_animation_ids,rel_position_to_animations,rel_x_position_to_animations,rel_y_position_to_animations
logo_152,7,1.3242269995757114,0.9723307706466837,-1.070934307219525,-1.3864309915744355,1.0046515648284784,-0.6895354017201794,0.20210788788433154,0.19788710170234228,0.6615415897173617,0.4962049997813924,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,0,0,0,0.1406240131289506,-0.06650785125907213,0.37579849547174304,0.0517697029072798,0.6858875235788711,-0.0416955268350852,4.714285714285714,-4.714285714285714,13.928571428571429,-13.928571428571429,31.714285714285715,-31.714285714285715,-0.8530405269255599,-0.602260578427783,1.6857129661479786,-0.20354883845203506,-0.5224210546172603,1,"[12, 11, 13, 3, 7]","(0.9659089460602069, 0.3794012149832708)",1.8456072402152912,-0.5020917059717594
logo_153,11,-0.5473113354953528,1.3618223411027983,-1.339525262360036,-0.05064847776237785,-1.4526881440642296,0.33881501096172945,-0.8177630026074763,-0.7502127846429514,-1.6782260424073037,-0.11488692305404159,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.24808494572240852,-1.579739337328496,0.46097586464916496,-1.1766248308335245,0.6932024933630604,-0.15114119166059317,3.3846153846153846,18.615384615384617,10.0,55.0,22.76923076923077,125.23076923076924,-0.07987954939636033,-0.44454090496281445,0.40001027507787734,-1.5560318682078833,-0.5781794354415745,1,"[11, 12, 4, 5, 3, 6, 7]","(0.5745479179258974, 0.10755415736841152)",0.2922480571141244,-1.6982691172161717
logo_153,12,1.0013067298691947,0.2488167353407276,0.914143104552979,0.49707402211188695,-0.906925767818956,0.04744385571081577,-0.5205388115074541,-0.6963628192103064,1.2440582911128755,-0.6325016691120108,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.24808494572240852,-1.579739337328496,0.46097586464916496,-1.1766248308335245,0.6932024933630604,-0.15114119166059317,3.3846153846153846,18.615384615384617,10.0,55.0,22.76923076923077,125.23076923076924,0.6052959075781226,0.7922734735883318,0.3913147011059555,1.505314619462197,-0.5781794354415745,1,"[11, 12, 4, 5, 3, 6, 7]","(0.571147630018308, 0.7228802033912798)",0.27875190377555237,1.0092794700695582
logo_153,4,-0.1746404307115372,-0.5169695134201099,-1.2758618955330416,-0.22233272346309216,-0.7974896333254683,-1.4650821681183575,0.7818419643814407,-0.17854012578663855,-0.14629241418601965,-0.16614699402273625,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,0,0,0,0.24808494572240852,-0.1527542053873811,0.46097586464916496,-0.018242420777429227,0.6932024933630604,-0.04793336265415575,3.3846153846153846,-3.3846153846153846,10.0,-10.0,22.76923076923077,-22.76923076923077,-0.7477639948945182,-0.8824836207554213,-0.027372145270727826,-0.3610019719959409,-0.5781794354415745,1,"[11, 12, 4, 5, 3, 6, 7]","(0.40742573823769007, 0.3477533716281662)",-0.37108005645948605,-0.6413480792727019
logo_153,5,0.1619492065743523,0.20060268962928798,-1.5141841050943108,-0.46369855373675745,-0.6220065191530034,-1.360168918822968,2.0984843544051635,-0.6533550188287528,-0.9104414306900146,-1.3364611181761021,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,0,0,0,0.24808494572240852,-0.1527542053873811,0.46097586464916496,-0.018242420777429227,0.6932024933630604,-0.04793336265415575,3.3846153846153846,-3.3846153846153846,10.0,-10.0,22.76923076923077,-22.76923076923077,-0.7502734868255949,-0.7794407454177412,0.5523825676360979,-0.4465123183220626,-0.5781794354415745,1,"[11, 12, 4, 5, 3, 6, 7]","(0.6341310651120826, 0.3305659204491447)",0.5287407638124674,-0.7169760483138056
logo_153,3,-0.44197280238385256,-1.0591288683110425,-1.3510205592356077,2.3709657495321568,1.1629410935995472,-0.394716926960566,-0.4945887005740725,0.1471732358915621,-1.7886718875165675,1.0301055295049504,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,0,0,0,0.24808494572240852,-0.1527542053873811,0.46097586464916496,-0.018242420777429227,0.6932024933630604,-0.04793336265415575,3.3846153846153846,-3.3846153846153846,10.0,-10.0,22.76923076923077,-22.76923076923077,-0.5459641193637371,-0.8936509470972398,-0.5384882012862657,-0.3686190731230154,-0.5781794354415745,1,"[11, 12, 4, 5, 3, 6, 7]","(0.20756064017099246, 0.3462223457421528)",-1.1643687672525642,-0.6480848767828457
logo_153,6,0.6317011770505547,0.47288598799724096,-1.806290179299071,-0.34738875587064866,-0.6159058192602366,-1.4737679101024623,0.6174612953038033,-0.13297518070629202,-0.188066758307957,-0.36978754047701123,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,0,0,0,0.24808494572240852,-0.1527542053873811,0.46097586464916496,-0.018242420777429227,0.6932024933630604,-0.04793336265415575,3.3846153846153846,-3.3846153846153846,10.0,-10.0,22.76923076923077,-22.76923076923077,-0.7477563440044803,-0.8824836207554213,0.9115071591505806,-0.3610019719959409,-0.5781794354415745,1,"[11, 12, 4, 5, 3, 6, 7]","(0.7745619337111759, 0.3477533716281662)",1.0861278403161923,-0.6413480792727019
logo_153,7,0.6999271438365406,0.9030923126705593,-1.423414375506801,-1.375064428382423,0.5406546242856536,-0.8776636997553487,0.13187190427456313,0.12713715705180909,0.35634269139964025,0.6335071697544545,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,0,0,0,0.24808494572240852,-0.1527542053873811,0.46097586464916496,-0.018242420777429227,0.6932024933630604,-0.04793336265415575,3.3846153846153846,-3.3846153846153846,10.0,-10.0,22.76923076923077,-22.76923076923077,-0.7351935825690299,-0.8824776232654424,1.3106821680101903,-0.3610060628128725,-0.5781794354415745,1,"[11, 12, 4, 5, 3, 6, 7]","(0.9306539823809898, 0.34775254938010725)",1.7056760318318753,-0.641351697316477
logo_154,11,0.28387178881463304,-0.2913965610103293,-0.9107932197312197,-0.4521741382205634,-0.43860189495051616,-0.44901395500188546,-1.2034071153129422,-0.7375933226859391,-1.3769395480243354,-0.24292104545999793,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.1406240131289506,-1.4934929832001869,0.37579849547174304,-1.1066127071488154,0.6858875235788711,-0.1449033558415226,4.714285714285714,17.285714285714285,13.928571428571429,51.07142857142857,31.714285714285715,116.28571428571428,-0.7839174792975689,-0.4437535596659406,0.25906528270997486,-1.555494829299496,-0.5224210546172603,1,"[11, 12, 13]","(0.7406931670087812, 0.1076621013823901)",0.951698615136876,-1.6977941435588029
logo_154,12,0.48221586623206275,-0.2752115636139604,-0.3879584035826566,-0.4858884648309379,0.09848835969777013,0.5665761714581738,-0.8474709202353388,0.5038128226495725,-0.9318680646680497,-0.949828756574898,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.1406240131289506,-1.4934929832001869,0.37579849547174304,-1.1066127071488154,0.6858875235788711,-0.1449033558415226,4.714285714285714,17.285714285714285,13.928571428571429,51.07142857142857,31.714285714285715,116.28571428571428,-0.15146221502507495,-0.7565810438755565,0.26198916757238294,-0.4541342306753675,-0.5224210546172603,1,"[11, 12, 13]","(0.7423232419963942, 0.3290339275138852)",0.9581685796175581,-0.723717101019771
logo_154,13,0.6727400435377274,-0.49269413116936106,0.05650177511829681,-0.8018999087528951,0.5595515943041767,0.6482980508803011,-0.7900726691895312,-1.0177866510289995,0.3455439886078877,-0.23352596324749314,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.1406240131289506,-1.4934929832001869,0.37579849547174304,-1.1066127071488154,0.6858875235788711,-0.1449033558415226,4.714285714285714,17.285714285714285,13.928571428571429,51.07142857142857,31.714285714285715,116.28571428571428,-0.5742953390998616,0.7897133216882787,0.2619854333643847,1.5070608687725944,-0.5224210546172603,1,"[11, 12, 13]","(0.7423211601637152, 0.7232311968798851)",0.9581603165722441,1.0108239064384756
logo_155,11,0.23982513152065252,0.9391547141477257,0.7609436554032801,0.2044882417846033,0.5799202963022752,2.924306545243132,-0.12756035712747316,1.672975205129428,-0.5359732190735496,-1.685576796400784,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.3848534053868098,-1.6895074244008892,0.5693834254204294,-1.265731170068609,0.7025124549065737,-0.15908025543031912,13.76923076923077,8.23076923076923,17.076923076923077,47.92307692307692,23.384615384615383,124.6153846153846,3.2374545585669248,0.22583501323357044,0.4065216881337082,-0.05761226052858822,-0.5781794354415745,1,"[11, 12]","(0.4999999999999999, 0.672043553312973)",-0.003641631860027237,0.7855887925961996
logo_155,12,0.44245930652743015,0.8269971369209806,-1.0808682953433508,-0.9888920709410959,-0.7446518397323352,0.03264767686872418,-0.6482617088343205,-0.26550855751655633,-1.2928929356315269,-0.1791860400284343,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,157,157,156,0.3848534053868098,-0.26252229245977454,0.5693834254204294,-0.1073487600125137,0.7025124549065737,-0.05587242642388168,13.76923076923077,143.23076923076923,17.076923076923077,139.92307692307693,23.384615384615383,132.6153846153846,-0.6340173932917408,-0.5135263065665319,0.9355189276477245,-1.6030859941663673,-0.5781794354415745,1,"[11, 12]","(0.6250006615518419, 0.16129066525029875)",0.4925010894551825,-1.4618185282289715
logo_156,18,-0.04054146318036851,-1.8567136259280759,0.9008242951516092,-0.9223813728333305,0.7044413823793688,-0.9630458285809957,-0.2901511202375983,0.3671898791195346,0.478284434220063,0.00628997750137396,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,157,157,156,0.8514779177704387,-0.6370273518215801,1.0913893973951037,-0.5364151543727562,1.1828747320466024,-0.46550105195161684,22.40909090909091,134.5909090909091,24.363636363636363,132.63636363636363,28.0,128.0,-1.0113756580893716,-1.08488918050174,-0.9094387089357507,1.4187793555062946,-0.07635400802274696,1,"[18, 19, 20, 21]","(0.0750174727425217, 0.972749750118365)",-1.6904486052574692,2.1087517622297733
logo_156,19,0.42715052272890314,-0.014823730748857055,-1.2889760097356993,2.3473411162717883,2.2151843593469756,1.4422249716177427,-1.1760635398364294,-0.592809350986064,-2.590576959933815,0.8845124163229038,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.8514779177704387,-2.0640124837626947,1.0913893973951037,-1.6947975644288513,1.1828747320466024,-0.5687088809580543,22.40909090909091,-0.40909090909091,24.363636363636363,40.63636363636364,28.0,120.0,-0.08234137440313792,0.2266461915235317,0.40652635869632486,-0.5483053013270845,-0.07635400802274696,1,"[18, 19, 20, 21]","(0.690655577299413, 0.42758454129383683)",0.7530933788264762,-0.29007614458586617
logo_156,20,0.043265679762420316,0.5624522118708132,-0.8825035149886971,-0.10315501394689648,-1.0271271686299575,-0.04084086000983286,-0.8577691401901675,1.3194006848368391,-2.5343289080704086,-0.8341839060245227,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,157,157,156,0.8514779177704387,-0.6370273518215801,1.0913893973951037,-0.5364151543727562,1.1828747320466024,-0.46550105195161684,22.40909090909091,134.5909090909091,24.363636363636363,132.63636363636363,28.0,128.0,0.25642022466528974,-0.7811373707697411,0.40652635869632486,-1.7856203337537033,-0.07635400802274696,1,"[18, 19, 20, 21]","(0.690655577299413, 0.08467041927508022)",0.7530933788264762,-1.7989618038769815
logo_156,21,0.7423761943232958,-0.1864503767108054,-0.07856674332053648,-0.4095992935805017,1.0708231519612599,0.761853583196043,-1.121153568694894,0.3547653802228577,0.09700398748006867,-1.2751006974155688,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,157,157,156,0.8514779177704387,-0.6370273518215801,1.0913893973951037,-0.5364151543727562,1.1828747320466024,-0.46550105195161684,22.40909090909091,134.5909090909091,24.363636363636363,132.63636363636363,28.0,128.0,0.25642022466528974,-0.7587351530112204,0.40652635869632486,0.6431861244358116,-0.07635400802274696,1,"[18, 19, 20, 21]","(0.690655577299413, 0.7577989373454678)",0.7530933788264762,1.1629283679157485
logo_157,11,0.19230407674923009,-0.9107300740793736,-0.38841252505284574,-1.0982604125055662,0.1723580571150703,-1.3025115462831558,-0.3743134548848223,0.35086181734641836,0.19847268967023385,0.13150425818409223,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,157,157,156,0.40308920000873,-0.27715803740276035,0.5838377668565979,-0.11922960524385823,0.7037537831123755,-0.05693096825984514,32.86666666666667,124.13333333333333,35.733333333333334,121.26666666666668,41.06666666666667,114.93333333333334,-1.0331886719236199,-0.9539776805345919,-0.051457870502955826,-0.8480542919088274,-0.4666626737929461,1,"[11, 13, 14, 12]","(0.981112476462424, 0.24985658685541312)",1.905951888425222,-1.0721120669577477
