id,total_len,nb_groups,len_groups,max_len_group
H. von Allwörden GmbH,717,68,"[32, 33, 17, 6, 10, 4, 12, 4, 13, 6, 4, 12, 15, 14, 14, 8, 12, 4, 9, 6, 15, 15, 18, 13, 19, 12, 9, 14, 14, 15, 15, 7, 18, 9, 10, 24, 15, 19, 11, 11, 12, 15, 4, 4, 11, 5, 4, 4, 4, 4, 4, 4, 4, 3, 3, 12, 3, 14, 3, 8, 7, 11, 13, 6, 13, 16, 4, 4]",33
Hetzner,142,8,"[22, 22, 16, 20, 15, 22, 17, 8]",22
Heidelberger Lebensversicherung,354,59,"[9, 5, 9, 3, 9, 4, 4, 4, 3, 8, 8, 8, 8, 8, 8, 8, 9, 10, 3, 6, 6, 6, 6, 6, 6, 5, 4, 4, 5, 4, 3, 3, 4, 4, 5, 2, 2, 2, 8, 8, 10, 10, 9, 9, 8, 8, 8, 8, 8, 3, 6, 6, 6, 6, 6, 4, 4, 4, 4]",10
Hubert Burda Media Holding,193,26,"[7, 14, 5, 13, 8, 5, 11, 11, 10, 10, 5, 4, 4, 5, 4, 4, 4, 8, 8, 9, 9, 4, 4, 7, 10, 10]",14
Humana GmbH,154,8,"[17, 25, 16, 10, 10, 30, 30, 16]",30
IFS AB,59,5,"[13, 19, 8, 12, 7]",19
IONITY,65,7,"[10, 6, 14, 9, 10, 6, 10]",14
Hutchinson SA,224,18,"[26, 3, 18, 14, 10, 22, 22, 26, 26, 5, 4, 5, 5, 4, 8, 10, 11, 5]",26
Interlloyd Versicherung,207,32,"[5, 5, 5, 8, 14, 4, 4, 4, 12, 8, 7, 7, 8, 6, 3, 5, 5, 6, 6, 6, 3, 4, 8, 6, 6, 8, 9, 8, 6, 4, 9, 8]",14
Hostsharing eG,173,22,"[6, 5, 4, 13, 13, 10, 9, 11, 8, 13, 5, 11, 16, 8, 8, 5, 4, 6, 4, 4, 6, 4]",16
Janitos Versicherung,104,13,"[6, 8, 4, 4, 8, 11, 8, 10, 11, 14, 7, 6, 7]",14
Kali Chemie,114,13,"[9, 6, 7, 13, 13, 13, 5, 13, 12, 7, 7, 5, 4]",13
KAMAG vehicles,118,12,"[15, 4, 7, 12, 12, 14, 19, 12, 4, 4, 6, 9]",19
Klöckner & Co SE,147,20,"[8, 13, 11, 6, 11, 4, 4, 6, 8, 5, 8, 13, 8, 11, 8, 5, 6, 4, 4, 4]",13
Knauf,103,12,"[13, 9, 11, 9, 12, 4, 4, 11, 12, 9, 5, 4]",13
Kaeser Compressor,287,25,"[9, 13, 13, 17, 12, 40, 4, 12, 5, 5, 14, 8, 13, 13, 11, 12, 8, 8, 8, 10, 10, 5, 5, 16, 16]",40
Konux,124,11,"[8, 11, 9, 10, 13, 9, 7, 7, 16, 18, 16]",18
Josef Seibel Schuhfabrik,342,49,"[7, 7, 3, 14, 18, 5, 3, 16, 6, 9, 9, 9, 6, 6, 6, 6, 7, 7, 7, 4, 4, 7, 9, 8, 14, 8, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 4, 6, 12]",18
Kusch Yachts,147,15,"[33, 11, 10, 5, 8, 5, 9, 16, 11, 8, 6, 6, 6, 9, 4]",33
Lauda Dr. R. Wobser,69,8,"[7, 11, 14, 14, 5, 5, 5, 8]",14
KWS Saat SE,112,9,"[13, 18, 29, 22, 7, 5, 5, 7, 6]",29
Landgard,126,17,"[7, 7, 6, 6, 4, 4, 9, 10, 11, 11, 10, 9, 6, 7, 7, 6, 6]",11
KTG Agrar SE,204,20,"[15, 12, 9, 8, 9, 10, 9, 10, 16, 22, 7, 8, 5, 12, 12, 16, 10, 4, 6, 4]",22
