filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,rel_width,rel_height
L_7sins_03_1,18,10.140138,-11.347138,2.8922172,3.354246,3.644987,-1.4072466,-0.53796065,-0.9113947,1.5093489,-0.6320054,-0.67437327,0.35569733,-0.4652748,0.54045135,0.31295508,0,1.0,1.0,197,0,123,236,116,4,0.05399491912812922,0.054731863182358585
L_7sins_03_1,19,10.475223,-7.5234094,6.053695,2.7276883,3.2507706,-1.1368123,-0.51608056,-1.3510765,1.4257437,-1.0866733,-0.5923418,0.54764646,-0.3029428,0.2877815,-0.0015331791,0,1.0,1.0,197,0,123,236,116,4,0.05880517319094363,0.05881810199222084
L_7sins_03_1,20,7.4007134,-11.278703,4.971143,3.0399218,4.4319825,-1.7699592,-0.25571674,-1.1779965,1.057042,-1.316177,-0.85856575,0.52011436,-0.6210274,0.4708801,0.33074567,0,1.0,1.0,197,0,123,236,116,4,0.05508361929176358,0.05813613789073951
L_7sins_03_1,21,13.905905,-10.464621,-0.99974906,3.6480849,3.8092268,-1.6083152,0.0064556203,-0.17517503,-0.096762456,-0.64299995,-0.6878718,0.0046542943,-0.31278557,-0.08189836,0.66870934,0,1.0,1.0,197,0,123,236,116,4,0.04790055823307182,0.053893131894884566
L_7sins_03_1,23,15.484588,-7.163937,2.4651227,4.5669184,3.7222025,-1.9074497,-0.031792484,-0.75769866,1.3374581,-0.85167754,-0.7321236,0.33027822,-0.74200594,0.53245735,0.49234432,0,1.0,1.0,197,0,123,236,116,4,0.05399467067356329,0.05474577467742647
L_7sins_03_1,22,12.599592,-8.862763,4.40439,4.607401,4.0658617,-2.1286428,0.23767102,-1.170882,1.2902898,-1.1405122,-0.55761784,0.2075268,-0.8177714,0.63779455,0.47652984,0,1.0,1.0,197,0,123,236,116,4,0.06994939547742206,0.06453913137414022
L_7sins_03_1,25,9.751719,-11.395485,-2.4339135,0.5520397,2.2174797,-0.55109274,-0.74051267,0.91198987,-0.7093991,0.013116871,-0.18513745,-0.1819505,0.3133563,0.023685861,0.10548428,0,1.0,1.0,197,0,123,236,116,4,0.04004797750581447,0.051059502636643994
L_7sins_03_1,3,2.2854512,7.8885818,3.8530588,8.824614,-3.0311134,8.079207,-2.9816766,1.4156944,-0.047443986,-1.8670638,-1.1687369,-0.5506742,0.026898412,0.0724428,0.1753241,0,1.0,1.0,0,0,0,236,116,4,0.6535834402413229,0.5868897894227713
L_7sins_03_1,4,2.2714884,5.052927,11.023392,0.5919439,-0.012553193,2.909904,-1.6599789,-1.9961315,-1.0313106,-2.2737665,-1.1817715,-0.06463628,1.4894129,-0.3802376,-1.0038041,0,1.0,1.0,197,0,123,236,116,4,0.10711042571701539,0.21177468942587244
L_7sins_03_1,6,3.0956666,5.9662237,8.177089,-2.047188,0.28609234,0.92315125,-1.0048363,1.2366766,-2.8961713,-0.27785036,-0.22574967,-0.9784489,0.13415769,-0.037279274,0.11646845,0,1.0,1.0,197,0,123,236,116,4,0.03323710273280249,0.2123083974306077
