,filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg,nr_commands
3063,logo_34,49,-11.353297,1.2399597,-0.13494796,-0.3990348,-0.22805755,-0.049915303,0.5819209,0.42270187,-0.18307771,0.050907586,-0.079351954,-0.015039111,0.23586221,0.012636639,-0.06151869,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.019241253246961482,0.002996019416821943,0.03317512747330276,-0.013472170729365742,138,5
3064,logo_34,52,-11.447789,-0.82586896,-0.7491633,0.023568988,-0.29460806,-0.21117808,0.07008377,0.08914194,-0.32428524,-0.19421749,0.026496917,0.005578054,0.13775742,0.044569705,-0.095466524,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.016531443414681088,0.02749330392311326,0.01609049802777154,-0.022175831101307688,138,5
3065,logo_34,54,-12.494326,3.7074058,0.2950517,0.6431914,-0.5056387,0.07067176,0.53855646,0.25259438,-0.07669817,0.10086251,-0.030119076,-0.045169868,0.19762985,0.0803465,0.0036837996,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.0192091844915499,0.006735465574287064,0.020283487797838565,-0.005927997479123989,138,5
3066,logo_34,53,-10.292173,-1.5971248,-0.8476671,-0.5339591,-0.13231988,-0.30928555,-0.05219365,0.11163199,-0.38695395,-0.25932962,0.04959993,0.042250887,0.2262898,0.030129516,-0.12188542,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.016515409036975275,0.027493303923113287,0.011897508257704517,-0.02154561210020482,138,4
3067,logo_34,55,-7.8850946,6.55714,1.2339997,-1.4113535,-0.205543,-0.10122156,0.44488546,0.5444212,0.17052415,-0.052818045,-0.15395981,-0.1289507,0.14908428,0.22522514,0.1238775,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.018487637494788833,0.007129352449976361,0.01634704807106436,-0.0017527965968173926,138,5
3068,logo_34,56,-4.2944837,9.482129,1.4035875,-1.0399565,-0.7100481,-0.47895104,0.03311194,0.15400258,-0.07768105,-0.5388504,0.01991292,0.047393683,0.26092592,0.3531439,0.26257586,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.03889940031427381,0.024775484480857077,0.03946060353397683,0.0030132345990231584,138,5
3069,logo_34,57,-11.435708,-2.1625452,-1.090316,0.21231025,-0.33592618,-0.23568933,0.01441893,0.11604165,-0.34907684,-0.30143443,0.001635377,0.04708618,0.02412532,0.0713006,-0.10097545,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.014623352467690752,0.020639672286119418,0.03989353173203346,-0.001417992752481489,138,5
3070,logo_34,59,-9.925996,-1.3970206,-0.72605765,-0.88390476,-0.12683278,-0.23885512,0.13923913,0.34242445,-0.33053988,-0.21723579,0.014373738,0.041576892,0.2830693,0.026631815,-0.12708418,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.010310104864830217,0.010359224830628634,0.05502196709745696,-0.00797620923270836,138,5
3071,logo_34,58,-14.365076,4.187745,0.1307688,2.6361148,-0.99061054,-0.010106001,0.47270858,-0.26044878,-0.26181763,0.0701977,0.056451306,-0.15542531,-0.19008256,0.13499932,-0.05724886,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.012378539588878546,0.01867023790767291,0.047028829811115024,-0.00634157869859776,138,4
3072,logo_34,6,-12.887282,1.4875888,-0.30911338,0.9453506,-0.4291808,0.07471122,0.31164974,0.17598514,-0.05443193,-0.017258601,-0.006491669,-0.002408504,0.03173432,0.13652255,-0.082181476,0,1.0,1.0,0,144,54,0,0,0,10.567164179104477,-10.567164179104477,146.08955223880596,-2.0895522388059646,61.52238805970149,-7.522388059701491,0.0,0.0,0.0,0.0,0.0,0.0,0.016322996504505676,0.014731369150779888,-0.037055446878106656,0.019773121159602943,138,5
