id,total_len,nb_groups,len_groups,max_len_group,start_pos
logo_113,179,8,"[38, 20, 13, 19, 16, 15, 21, 37]",38,"[P(6.763361930847168, 9.621092796325684), P(18.64603042602539, 10.676175117492676), P(10.173039436340332, 10.811910629272461), P(14.938676834106445, 11.41761302947998), P(12.881381034851074, 11.417640686035156), P(17.02387046813965, 11.417640686035156), P(4.970630645751953, 11.651778221130371), P(5.333380699157715, 13.617659568786621)]"
logo_115,139,8,"[3, 15, 11, 7, 13, 13, 60, 17]",60,"[P(15.60784912109375, 9.942883491516113), P(11.815078735351562, 10.655691146850586), P(14.512565612792969, 10.655959129333496), P(6.285983085632324, 10.711060523986816), P(8.682703971862793, 10.711060523986816), P(16.0798282623291, 10.711060523986816), P(4.380863189697266, 14.609460830688477), P(11.254940032958984, 14.984679222106934)]"
logo_116,139,8,"[3, 15, 11, 7, 13, 13, 60, 17]",60,"[P(10.601531982421875, 9.942883491516113), P(11.815078735351562, 10.655691146850586), P(14.512565612792969, 10.655959129333496), P(6.285983085632324, 10.711060523986816), P(8.682703971862793, 10.711060523986816), P(16.0798282623291, 10.711060523986816), P(4.380863189697266, 14.609460830688477), P(11.254940032958984, 14.984679222106934)]"
logo_118,104,8,"[9, 14, 10, 14, 17, 13, 13, 14]",17,"[P(5.146082401275635, 6.584061622619629), P(4.377906322479248, 8.86735725402832), P(8.327644348144531, 8.86735725402832), P(10.206961631774902, 8.86735725402832), P(4.9845452308654785, 16.502351760864258), P(14.471442222595215, 16.502351760864258), P(15.903508186340332, 16.502351760864258), P(18.38946533203125, 16.502351760864258)]"
logo_119,118,8,"[9, 20, 9, 20, 20, 13, 15, 12]",20,"[P(5.142857551574707, 8.294986724853516), P(9.989786148071289, 11.171213150024414), P(13.066254615783691, 11.171213150024414), P(15.72933578491211, 11.171213150024414), P(5.430721759796143, 14.788738250732422), P(14.133853912353516, 14.788738250732422), P(15.687139511108398, 14.788738250732422), P(17.94866371154785, 14.788738250732422)]"
logo_117,170,8,"[9, 9, 9, 31, 36, 36, 23, 17]",36,"[P(4.970569133758545, 9.573175430297852), P(10.132509231567383, 9.573175430297852), P(15.294449806213379, 9.573175430297852), P(11.214082717895508, 10.598037719726562), P(5.740626811981201, 11.222953796386719), P(16.060476303100586, 11.222953796386719), P(5.44980525970459, 13.572369575500488), P(15.771535873413086, 13.572637557983398)]"
logo_121,40,8,"[5, 5, 5, 5, 5, 5, 5, 5]",5,"[P(6.29754114151001, 7.082918643951416), P(10.738073348999023, 7.082918643951416), P(15.812660217285156, 7.082918643951416), P(16.44725227355957, 7.082918643951416), P(18.350223541259766, 7.082918643951416), P(5.6629486083984375, 7.083187580108643), P(8.20051097869873, 7.083187580108643), P(12.21825122833252, 8.563096046447754)]"
logo_120,127,8,"[9, 23, 9, 23, 23, 13, 12, 15]",23,"[P(18.213682174682617, 8.297540664672852), P(9.085875511169434, 11.255745887756348), P(12.365811347961426, 11.255745887756348), P(15.195808410644531, 11.255745887756348), P(5.973390579223633, 14.817094802856445), P(13.825830459594727, 14.817363739013672), P(17.273754119873047, 14.817363739013672), P(15.149577140808105, 14.817364692687988)]"
logo_12,102,8,"[12, 11, 21, 13, 12, 16, 11, 6]",21,"[P(5.389598369598389, 10.591721534729004), P(9.018142700195312, 11.01236343383789), P(14.28732681274414, 11.015588760375977), P(6.183577537536621, 11.02741527557373), P(10.23357105255127, 11.02741527557373), P(16.230615615844727, 11.02741527557373), P(17.99139976501465, 11.02741527557373), P(4.559870719909668, 12.16274642944336)]"
logo_123,152,8,"[16, 22, 22, 13, 16, 17, 25, 21]",25,"[P(4.952559471130371, 7.895578861236572), P(7.245800018310547, 9.707700729370117), P(15.151727676391602, 9.707700729370117), P(11.791425704956055, 9.734041213989258), P(4.380592346191406, 12.847869873046875), P(16.16341781616211, 14.931731224060059), P(4.865474700927734, 14.931998252868652), P(14.549389839172363, 14.932268142700195)]"
logo_122,53,8,"[5, 5, 5, 5, 6, 5, 6, 16]",16,"[P(9.324284553527832, 9.321730613708496), P(10.467142105102539, 9.321730613708496), P(13.514581680297852, 9.321730613708496), P(14.657439231872559, 9.321730613708496), P(9.60999870300293, 9.321999549865723), P(11.419432640075684, 9.321999549865723), P(13.80029582977295, 9.321999549865723), P(4.373337268829346, 13.323343276977539)]"
logo_127,152,8,"[17, 21, 19, 25, 13, 13, 22, 22]",25,"[P(17.08130645751953, 14.112485885620117), P(14.542402267456055, 14.113021850585938), P(18.302379608154297, 14.113021850585938), P(5.112753391265869, 14.113022804260254), P(8.545087814331055, 14.11329174041748), P(9.938448905944824, 14.11329174041748), P(7.0555033683776855, 14.122698783874512), P(12.283564567565918, 14.122698783874512)]"
logo_124,151,8,"[16, 16, 20, 20, 16, 25, 21, 17]",25,"[P(8.140304565429688, 8.584598541259766), P(11.769923210144043, 9.467275619506836), P(9.072168350219727, 9.851095199584961), P(13.185323715209961, 9.851095199584961), P(7.8250226974487305, 12.156699180603027), P(4.5590643882751465, 13.951350212097168), P(14.597232818603516, 13.951350212097168), P(16.31904411315918, 13.951350212097168)]"
logo_126,160,8,"[16, 16, 16, 22, 25, 25, 23, 17]",25,"[P(17.26354217529297, 7.118666172027588), P(11.326435089111328, 7.764546871185303), P(15.432065963745117, 7.802445411682129), P(11.810240745544434, 9.274291038513184), P(8.119338989257812, 9.926891326904297), P(14.82193374633789, 9.926891326904297), P(5.651659965515137, 15.866415023803711), P(15.575326919555664, 15.866683959960938)]"
logo_125,228,8,"[34, 34, 27, 31, 25, 25, 29, 23]",34,"[P(9.108722686767578, 10.309905052185059), P(14.114502906799316, 10.309905052185059), P(15.757291793823242, 13.384490013122559), P(9.730682373046875, 13.387984275817871), P(6.554226875305176, 13.40679931640625), P(11.995701789855957, 13.40679931640625), P(4.666845798492432, 13.407068252563477), P(17.34014129638672, 13.407068252563477)]"
logo_129,135,8,"[25, 22, 18, 17, 13, 13, 13, 14]",25,"[P(14.570354461669922, 9.686600685119629), P(9.541460037231445, 9.801370620727539), P(12.112619400024414, 10.083590507507324), P(4.37118673324585, 13.267302513122559), P(11.797070503234863, 13.267302513122559), P(14.656633377075195, 13.267302513122559), P(16.2529239654541, 13.267302513122559), P(18.91869354248047, 13.267302513122559)]"
logo_128,115,8,"[14, 24, 21, 7, 6, 17, 13, 13]",24,"[P(17.07996368408203, 7.893965244293213), P(7.003897666931152, 8.347667694091797), P(12.230345726013184, 8.701652526855469), P(17.442548751831055, 10.863190650939941), P(18.842628479003906, 10.863190650939941), P(4.834834098815918, 14.736326217651367), P(14.384895324707031, 14.736326217651367), P(15.930386543273926, 14.736326217651367)]"
logo_13,111,8,"[9, 11, 13, 20, 13, 14, 20, 11]",20,"[P(6.294046878814697, 10.095148086547852), P(10.239215850830078, 11.076737403869629), P(16.897727966308594, 11.108452796936035), P(5.569144248962402, 11.118935585021973), P(8.956592559814453, 11.118935585021973), P(11.358420372009277, 11.118935585021973), P(14.298078536987305, 11.118935585021973), P(18.27791976928711, 11.118935585021973)]"
logo_130,76,7,"[11, 13, 14, 11, 13, 9, 5]",14,"[P(4.380006313323975, 10.80833625793457), P(6.84356689453125, 10.80833625793457), P(8.694597244262695, 10.80833625793457), P(13.514607429504395, 10.80833625793457), P(15.978168487548828, 10.80833625793457), P(17.90951156616211, 10.80833625793457), P(11.924700736999512, 12.03345012664795)]"
logo_131,71,7,"[10, 10, 14, 8, 12, 12, 5]",14,"[P(4.344741344451904, 10.74803352355957), P(13.536540031433105, 10.74803352355957), P(11.262687683105469, 10.803726196289062), P(19.655258178710938, 10.803726196289062), P(6.981533050537109, 10.80380630493164), P(16.17333221435547, 10.80380630493164), P(11.979721069335938, 12.118560791015625)]"
logo_132,122,7,"[21, 21, 12, 18, 18, 25, 7]",25,"[P(6.92592191696167, 10.77055835723877), P(15.879766464233398, 10.77055835723877), P(17.987430572509766, 10.777600288391113), P(4.649676322937012, 10.795151710510254), P(13.603522300720215, 10.795151710510254), P(8.952654838562012, 10.844231605529785), P(12.303873062133789, 11.92624568939209)]"
logo_134,69,7,"[9, 9, 13, 13, 9, 11, 5]",13,"[P(4.381941318511963, 10.764402389526367), P(13.237303733825684, 10.764402389526367), P(8.66193962097168, 10.803564071655273), P(17.517303466796875, 10.803564071655273), P(17.81989860534668, 10.803564071655273), P(9.05707836151123, 10.80356502532959), P(11.748916625976562, 11.811286926269531)]"
